Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,5874.859863,5911.790039,5812.080078,5861.72998,2168976200,5861.72998
2017-02-01,5654.509766,5867.890137,5616.399902,5825.439941,2053049400,5825.439941
2017-01-03,5425.620117,5669.609863,5397.990234,5614.790039,1903472500,5614.790039
2016-12-01,5323.879883,5512.370117,5238.209961,5383.120117,1910003800,5383.120117
2016-11-01,5199.77002,5403.859863,5034.410156,5323.680176,2092150000,5323.680176
2016-10-03,5300.290039,5340.52002,5169.759766,5189.140137,1731052800,5189.140137
2016-09-01,5218.279785,5342.879883,5097.799805,5312.00,2004019000,5312.00
2016-08-01,5167.419922,5275.740234,5109.799805,5213.220215,1761589100,5213.220215
2016-07-01,4837.180176,5175.810059,4786.009766,5162.129883,1906134000,5162.129883
2016-06-01,4928.970215,4980.140137,4574.25,4842.669922,2108412700,4842.669922
2016-05-02,4786.549805,4951.450195,4678.379883,4948.049805,1956599500,4948.049805
2016-04-01,4842.549805,4969.319824,4740.839844,4775.359863,1923369500,4775.359863
2016-03-01,4596.009766,4899.140137,4581.75,4869.850098,1932415900,4869.850098
2016-02-01,4587.589844,4636.930176,4209.759766,4557.950195,2258695500,4557.950195
2016-01-04,4897.649902,4926.72998,4313.390137,4613.950195,2499720000,4613.950195
2015-12-01,5129.640137,5176.77002,4871.589844,5007.410156,1911610000,5007.410156
2015-11-02,5065.640137,5163.470215,4908.660156,5108.669922,1951903500,5108.669922
2015-10-01,4624.459961,5095.689941,4552.339844,5053.75,2016574000,5053.75
2015-09-01,4673.609863,4960.870117,4487.060059,4620.160156,2090584200,4620.160156
2015-08-03,5134.339844,5175.259766,4292.140137,4776.509766,2154633800,4776.509766
2015-07-01,5029.049805,5231.939941,4901.509766,5128.279785,1934535400,5128.279785
2015-06-01,5094.939941,5164.359863,4956.22998,4986.870117,1971511300,4986.870117
2015-05-01,4966.319824,5111.540039,4888.169922,5070.029785,1900935500,5070.029785
2015-04-01,4894.359863,5119.830078,4844.390137,4941.419922,1889478500,4941.419922
2015-03-02,4973.430176,5042.140137,4825.930176,4900.879883,1956450000,4900.879883
2015-02-02,4650.600098,4989.25,4580.459961,4963.529785,1985720000,4963.529785
